"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Devaughn Vele","NO","47.7","567.4","3.7","0.0","0.0","0.0","0.2","102.3"
"Cooper Kupp","SEA","47.4","583.8","3.4","0.5","1.5","0.0","0.7","101.4"
"Jaylin Noel","HOU","45.3","517.0","3.6","5.1","17.6","0.1","0.3","97.5"
"Adonai Mitchell","NYJ","40.0","551.8","3.3","2.1","5.1","0.1","0.7","94.5"
"Jordyn Tyson","NO","38.8","538.6","2.9","1.0","4.0","0.0","0.7","89.4"
"Dontayvion Wicks","PHI","39.7","520.1","2.9","0.0","0.0","0.0","0.4","88.5"
"Germie Bernard","PIT","41.2","507.6","2.9","2.1","10.8","0.0","0.7","88.5"
"Malik Washington","MIA","45.1","410.7","2.3","13.5","80.4","0.7","0.8","88.5"
"Chris Bell","MIA","40.6","516.1","2.8","1.0","5.5","0.0","0.7","88.0"
"Antonio Williams","WAS","35.4","495.9","3.1","3.5","18.7","0.1","1.2","86.3"
"Caleb Douglas","MIA","39.2","507.4","2.5","1.0","5.5","0.0","0.7","84.7"
"Omar Cooper Jr.","NYJ","38.5","458.5","3.1","2.1","12.5","0.1","0.7","84.0"
"Travis Hunter","JAC","38.1","451.6","3.1","2.0","10.8","0.1","0.4","83.2"
"Xavier Hutchinson","HOU","38.7","473.4","2.5","2.1","14.2","0.0","0.2","83.1"
"Tyquan Thornton","KC","25.4","466.5","3.5","0.0","0.0","0.0","0.1","80.0"
"Darius Slayton","NYG","35.2","503.9","1.9","1.6","8.6","0.0","0.7","79.2"
"Tory Horton","SEA","30.3","400.5","4.2","0.5","3.0","0.0","0.6","79.2"
"Troy Franklin","DEN","36.5","403.1","3.4","3.0","10.8","0.0","0.6","79.0"
"Xavier Legette","CAR","35.7","416.9","2.6","2.1","10.9","0.1","0.4","75.8"
"Jahan Dotson","ATL","35.2","443.3","2.3","0.0","0.0","0.0","0.3","74.9"
"Bryce Lance","NO","34.7","460.8","2.0","1.0","5.0","0.0","1.1","73.6"
"Tre' Harris","LAC","34.5","410.5","2.5","0.0","0.0","0.0","0.4","72.5"
"Isaac TeSlaa","DET","25.4","352.4","4.1","0.0","0.0","0.0","0.1","72.4"
"Ryan Flournoy","DAL","33.8","383.1","2.7","2.2","12.4","0.1","0.4","72.2"
"Jalen Tolbert","MIA","35.3","442.1","1.7","0.0","0.0","0.0","0.3","71.6"
"Malik Benson","LV","35.3","419.0","2.0","1.0","4.0","0.0","0.6","70.5"
"Malachi Fields","NYG","32.7","408.0","2.2","0.0","0.0","0.0","0.3","69.7"
"Andrei Iosivas","CIN","29.5","373.3","2.7","2.5","11.0","0.0","0.1","69.6"
