"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Brashard Smith","KC","47.1","180.4","1.1","18.7","131.7","1.0","0.1","52.8"
"Jaylen Wright","MIA","82.1","318.2","1.6","7.2","52.5","0.1","1.3","48.3"
"Emanuel Wilson","SEA","70.2","289.5","1.7","7.7","52.1","0.0","0.5","47.3"
"Jonah Coleman","DEN","48.8","203.1","1.6","10.2","74.8","0.4","0.2","44.3"
"Kyle Juszczyk","SF","4.2","10.3","0.1","23.7","208.8","1.5","0.1","42.9"
"James Conner","ARI","32.5","108.5","1.0","14.0","106.5","1.0","0.0","40.5"
"Isaiah Davis","NYJ","35.0","174.6","1.2","10.0","78.7","0.2","0.1","38.5"
"LeQuint Allen Jr.","JAC","32.0","126.0","0.6","15.3","99.2","0.4","0.1","36.2"
"Emmett Johnson","KC","46.0","192.0","1.5","5.2","41.2","0.2","0.1","35.7"
"Adam Randall","BAL","31.0","169.5","1.0","6.5","70.5","0.5","0.5","35.3"
"Roschon Johnson","CHI","34.0","116.0","3.0","3.0","18.0","0.0","0.0","32.9"
"Sean Tucker","TB","39.3","163.6","2.2","1.5","10.2","0.0","0.1","31.4"
"Seth McGowan","IND","32.7","140.1","1.5","5.3","42.2","0.2","0.1","30.8"
"George Holani","SEA","36.9","141.1","1.3","6.0","46.1","0.1","0.1","30.0"
"Emari Demercado","DAL","32.0","206.0","0.0","5.0","41.0","0.0","0.0","27.2"
"Ray Davis","BUF","34.7","150.7","0.5","4.9","39.0","0.2","0.1","25.6"
"Corey Kiner","NE","33.0","149.0","1.0","2.0","20.0","0.0","0.0","23.9"
"Ollie Gordon II","MIA","39.2","137.6","1.1","2.5","15.9","0.1","0.1","23.3"
"Ameer Abdullah","JAC","17.0","71.0","1.0","8.0","56.0","0.0","0.0","22.7"
"Kendre Miller","NO","29.4","119.9","1.3","2.5","16.8","0.0","0.0","22.6"
"Audric Estime","NO","30.0","122.0","1.0","3.0","24.0","0.0","0.0","22.1"
"Jacob Saylors","DET","23.2","100.7","1.0","4.2","30.1","0.2","0.1","22.0"
"Will Shipley","PHI","9.2","39.5","0.3","11.3","83.4","0.4","0.1","21.9"
"Eli Heidenreich","PIT","29.0","117.0","1.0","2.0","21.0","0.0","0.0","20.8"
"Hunter Luepke","DAL","13.4","56.4","0.4","8.6","61.6","0.4","0.1","20.7"
"Kaytron Allen","WAS","23.6","110.8","0.7","3.0","25.6","0.1","0.0","19.9"
"Raheim Sanders","CLE","29.0","107.0","1.0","2.0","17.0","0.0","0.0","19.4"
