"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Josh Allen","BUF","492.1","333.4","3813.4","27.5","11.2","118.1","586.0","11.5","4.1","370.5"
"Lamar Jackson","BAL","448.9","291.6","3651.6","28.3","9.6","118.7","640.3","3.2","4.2","324.8"
"Jayden Daniels","WAS","492.8","321.8","3677.1","23.8","11.0","130.0","685.4","4.7","2.8","322.2"
"Drake Maye","NE","496.1","340.7","3999.3","27.7","10.4","99.4","492.9","3.7","5.6","320.7"
"Jalen Hurts","PHI","488.0","316.8","3566.5","24.2","7.4","111.8","461.1","8.4","4.0","320.2"
"Joe Burrow","CIN","591.5","395.8","4175.0","33.3","11.6","48.2","178.5","1.4","1.9","310.8"
"Jaxson Dart","NYG","509.0","324.0","3586.3","22.3","11.0","100.9","549.3","6.5","2.9","309.6"
"Trevor Lawrence","JAC","545.7","336.1","3912.1","27.0","13.0","72.5","322.0","4.9","3.4","306.6"
"Brock Purdy","SF","547.5","369.6","4154.0","27.3","14.3","70.8","304.4","3.8","4.3","306.0"
"Dak Prescott","DAL","581.5","383.7","4288.3","30.9","11.3","49.1","173.3","1.7","2.8","305.9"
"Patrick Mahomes II","KC","554.8","353.7","3836.5","27.1","11.9","60.4","359.7","3.4","2.0","302.5"
"Caleb Williams","CHI","550.6","330.5","3872.2","27.4","9.3","79.4","398.4","2.1","3.0","301.5"
"Justin Herbert","LAC","529.4","349.4","3854.1","26.2","11.7","78.4","450.5","2.1","2.8","299.5"
"Bo Nix","DEN","555.5","355.2","3744.2","26.8","11.0","79.1","341.3","3.7","2.0","298.0"
"Matthew Stafford","LAR","547.0","352.7","4190.5","34.0","8.6","23.7","33.1","0.2","2.8","293.9"
"Kyler Murray","MIN","518.8","344.3","3644.9","24.4","14.4","82.7","495.7","3.5","4.0","291.4"
"Jared Goff","DET","547.2","373.8","4309.4","31.7","10.0","23.7","48.2","0.2","3.7","288.0"
"Tyler Shough","NO","550.4","362.6","3945.7","22.2","11.7","78.6","330.1","4.1","3.6","285.1"
"Baker Mayfield","TB","541.2","348.8","3839.7","25.9","12.9","58.0","362.7","1.5","3.7","281.8"
"Daniel Jones","IND","513.0","337.2","3758.6","23.5","11.7","66.0","250.7","4.0","3.8","274.0"
"Jordan Love","GB","514.1","333.7","3860.2","26.9","10.3","48.7","206.4","1.0","3.0","272.2"
"Malik Willis","MIA","493.5","318.2","3374.2","18.1","12.5","124.9","642.7","4.1","6.1","271.8"
"Sam Darnold","SEA","506.8","336.7","4087.5","27.3","13.1","44.0","131.9","0.6","5.3","266.1"
"C.J. Stroud","HOU","550.7","347.1","3875.7","23.5","11.4","54.4","238.7","1.0","3.5","260.6"
"Bryce Young","CAR","525.4","334.2","3456.9","22.8","12.0","57.9","261.5","3.0","3.0","255.9"
"Geno Smith","NYJ","521.1","341.0","3462.6","21.8","14.8","57.3","210.8","1.0","2.2","233.8"
"Cam Ward","TEN","563.9","345.0","3585.8","19.5","10.4","44.2","185.2","2.0","5.4","230.9"
"Jacoby Brissett","ARI","541.2","346.9","3587.9","19.3","10.4","48.7","209.9","1.4","4.8","230.2"
"Aaron Rodgers","PIT","527.4","339.3","3483.8","22.0","9.4","26.0","82.5","0.6","2.7","224.7"
"Fernando Mendoza","LV","431.5","276.2","2882.1","15.7","12.2","50.4","233.0","1.3","2.7","191.7"
"Tua Tagovailoa","ATL","337.5","218.4","2350.6","13.2","7.3","17.3","41.7","0.1","1.8","140.5"
"Deshaun Watson","CLE","304.6","187.2","1994.0","10.8","7.5","44.3","191.7","1.2","3.3","135.2"
"Shedeur Sanders","CLE","242.0","147.1","1632.3","8.1","6.5","24.8","143.0","0.6","1.5","106.2"
"Michael Penix Jr.","ATL","222.8","138.8","1564.8","8.5","4.0","15.8","53.5","0.6","1.5","98.6"
"Kirk Cousins","LV","114.2","74.2","781.8","5.0","3.9","5.2","9.0","0.1","0.9","47.1"
"Carson Beck","ARI","64.6","40.4","449.8","2.8","1.8","6.8","26.7","0.1","0.5","29.9"
"Ty Simpson","LAR","40.9","25.8","298.1","2.6","0.8","4.1","18.4","0.0","0.1","23.4"
"Marcus Mariota","WAS","34.3","21.6","253.9","2.0","0.8","1.4","7.9","0.0","0.1","18.0"
"Quinn Ewers","JAC","25.8","16.2","180.6","1.3","0.9","3.3","11.7","0.0","0.1","12.7"
"Riley Leonard","IND","27.3","17.2","192.7","1.3","0.5","2.7","11.5","0.0","0.6","12.4"
"J.J. McCarthy","MIN","27.7","16.9","196.0","1.0","0.9","3.1","14.4","0.0","0.1","12.3"
"Justin Fields","KC","26.2","16.3","175.2","1.0","0.8","3.6","18.4","0.1","0.1","12.1"
"Jameis Winston","NYG","26.1","15.5","194.3","1.3","1.3","2.6","10.9","0.0","0.6","11.7"
"Tommy DeVito","NE","20.7","13.8","153.6","1.0","0.2","3.4","15.3","0.0","0.1","11.5"
"Tyson Bagent","CHI","23.1","15.1","169.9","1.0","0.2","2.8","8.7","0.0","0.1","11.5"
"Tyrod Taylor","GB","23.1","14.7","166.5","1.0","0.5","3.1","14.2","0.0","0.1","11.4"
"Jarrett Stidham","DEN","23.1","14.4","152.7","1.1","0.3","3.3","12.9","0.0","0.1","11.3"
"Davis Mills","HOU","26.2","16.0","175.8","0.9","0.5","2.7","9.0","0.0","0.1","11.1"
"Joshua Dobbs","DET","21.7","14.8","156.5","1.0","0.3","3.3","7.9","0.1","0.1","10.7"
"Tyler Huntley","BAL","18.3","11.8","130.8","0.9","0.3","3.5","18.7","0.0","0.1","10.6"
"Mac Jones","SF","22.5","14.9","160.2","1.0","0.5","2.7","8.4","0.0","0.1","10.5"
"Trey Lance","LAC","22.2","13.6","148.2","1.0","0.8","3.2","12.9","0.0","0.1","10.4"
"Anthony Richardson Sr.","IND","16.0","10.0","110.0","1.0","0.0","5.0","20.0","0.0","0.0","10.4"
"Tanner McKee","PHI","20.3","12.8","141.0","1.0","0.2","3.0","9.9","0.0","0.0","10.3"
"Joe Flacco","CIN","24.9","16.1","169.4","1.2","0.8","2.2","8.6","0.0","0.6","10.3"
"Kenny Pickett","CAR","22.8","14.4","157.8","1.0","0.8","2.8","10.6","0.0","0.1","10.3"
"Jalon Daniels","TB","19.7","12.8","140.1","1.0","0.2","1.6","7.8","0.0","0.1","10.3"
"Spencer Rattler","NO","22.9","14.9","156.7","0.9","0.8","2.7","12.1","0.0","0.1","10.2"
"Sam Howell","DAL","21.9","13.8","144.3","1.0","0.7","1.3","6.9","0.1","0.1","10.2"
"Drew Lock","SEA","20.6","13.0","146.6","0.9","0.8","3.1","13.1","0.0","0.1","10.0"
"Andy Dalton","PHI","19.0","13.0","140.0","1.0","0.0","5.0","23.0","0.0","1.0","9.9"
"Drew Allar","PIT","23.0","14.9","160.2","0.9","0.5","1.3","5.7","0.1","0.2","9.9"
"Gardner Minshew II","ARI","22.9","14.3","147.8","0.8","0.3","2.4","8.8","0.0","0.1","9.7"
"Cade Klubnik","NYJ","20.6","13.1","136.9","0.9","0.6","1.8","8.2","0.0","0.1","9.4"
"Cole Payton","PHI","14.0","9.0","105.0","1.0","0.0","2.0","10.0","0.0","0.0","9.2"
"Kyle Allen","BUF","21.0","12.4","138.4","1.0","0.6","2.0","3.6","0.0","0.1","9.1"
"Mitchell Trubisky","TEN","23.3","13.5","138.6","0.8","0.4","2.6","4.8","0.0","0.1","9.0"
"Jalen Milroe","SEA","11.0","7.0","89.0","1.0","0.0","5.0","14.0","0.0","0.0","9.0"
"Kyle McCord","MIA","18.1","11.7","123.9","0.8","0.8","1.6","6.8","0.0","0.1","8.0"
"Joe Milton III","DAL","12.0","7.5","88.5","0.5","0.5","2.0","11.0","0.0","0.0","6.1"
"Will Howard","PIT","13.0","8.0","93.0","0.5","0.5","1.0","3.5","0.0","0.0","5.6"
"Mason Rudolph","PIT","10.5","6.5","67.5","0.5","0.0","2.0","8.5","0.0","0.0","5.6"
"Stetson Bennett IV","LAR","9.0","5.5","67.5","0.5","0.0","1.0","5.0","0.0","0.0","5.2"
"Josh Johnson","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nick Mullens","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Aidan O'Connell","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
