player,team,fga,fgm,xpa,xpm
Jason Myers,SEA,42,35,33,33
Matt Gay,IND,41,33,36,35
Brandon Aubrey,DAL,38,36,52,49
Cairo Santos,CHI,38,35,33,31
Greg Zuerlein,NYJ,38,35,16,15
Blake Grupe,NOR,37,30,40,40
Younghoe Koo,ATL,37,32,28,27
Brandon McManus,JAX,37,30,35,35
Justin Tucker,BAL,37,32,52,51
Dustin Hopkins,CLE,36,33,26,24
Harrison Butker,KAN,35,33,38,38
Wil Lutz,DEN,34,30,31,29
Anders Carlson,GNB,33,27,39,34
Cameron Dicker,LAC,33,31,35,35
Matt Prater,ARI,33,28,23,22
Jake Elliott,PHI,32,30,46,45
Chris Boswell,PIT,31,29,28,27
Chase McLaughlin,TAM,31,29,33,33
Evan McPherson,CIN,31,26,40,40
Daniel Carlson,LVR,30,26,32,32
Nick Folk,TEN,30,29,30,28
Greg Joseph,MIN,30,24,38,36
Tyler Bass,BUF,29,24,50,49
Eddy Piñeiro,CAR,29,25,20,17
Ka'imi Fairbairn,HOU,28,27,22,21
Jason Sanders,MIA,28,24,59,58
Jake Moody,SFO,25,21,61,60
Chad Ryland,NWE,25,16,25,24
Joey Slye,WAS,24,19,35,32
Brett Maher,LAR,23,17,15,13
Lucas Havrisik,LAR,20,15,22,19
Graham Gano,NYG,17,11,8,8
Riley Patterson,2TM,18,16,44,41
Matt Ammendola,HOU,9,6,11,10
Mason Crosby,NYG,7,5,7,6
Randy Bullock,NYG,6,5,10,10
Michael Badgley,DET,4,4,15,13
Austin Seibert,NYJ,1,1,1,1
Matthew Wright,CAR,1,0,0,0
Ty Zentner,2TM,0,0,0,0
