team,points_allowed,turnovers,pass_int,fumbles_lost_by_opp,sacks
Baltimore Ravens,280,31,18,13,60
Kansas City Chiefs,294,17,8,9,57
San Francisco 49ers,298,28,22,6,48
Buffalo Bills,311,30,18,12,54
Dallas Cowboys,315,26,17,9,46
Pittsburgh Steelers,324,27,16,11,47
Tampa Bay Buccaneers,325,26,13,13,48
New Orleans Saints,327,29,18,11,34
Las Vegas Raiders,331,22,13,9,46
Green Bay Packers,350,18,7,11,45
Houston Texans,353,24,14,10,46
New York Jets,355,27,17,10,48
Minnesota Vikings,362,22,11,11,43
Cleveland Browns,362,28,18,10,49
New England Patriots,366,18,10,8,36
Tennessee Titans,367,14,6,8,45
Jacksonville Jaguars,371,27,16,11,40
Atlanta Falcons,373,16,8,8,42
Los Angeles Rams,377,15,10,5,41
Chicago Bears,379,28,22,6,30
Cincinnati Bengals,384,26,17,9,44
Miami Dolphins,391,27,15,12,56
Detroit Lions,395,23,16,7,41
Los Angeles Chargers,398,21,9,12,48
Seattle Seahawks,402,19,11,8,47
New York Giants,407,31,18,13,34
Denver Broncos,413,26,11,15,42
Indianapolis Colts,415,24,15,9,51
Carolina Panthers,416,11,8,3,27
Philadelphia Eagles,428,18,9,9,43
Arizona Cardinals,455,17,11,6,33
Washington Commanders,518,18,8,10,39
