team,points_allowed,turnovers,pass_int,fumbles_lost_by_opp,sacks
San Francisco 49ers,277,30,20,10,44
Buffalo Bills,286,27,17,10,40
Baltimore Ravens,315,25,14,11,48
New York Jets,316,16,12,4,45
Cincinnati Bengals,322,24,13,11,30
Dallas Cowboys,342,33,16,17,54
Washington Commanders,343,18,9,9,43
Philadelphia Eagles,344,27,17,10,70
New Orleans Saints,345,14,7,7,48
Pittsburgh Steelers,346,23,20,3,40
New England Patriots,347,30,19,11,54
Jacksonville Jaguars,350,27,14,13,35
Tampa Bay Buccaneers,358,20,10,10,45
Denver Broncos,359,23,15,8,36
Tennessee Titans,359,20,14,6,39
Kansas City Chiefs,369,20,11,9,55
Green Bay Packers,371,24,17,7,34
New York Giants,371,19,6,13,41
Carolina Panthers,374,17,10,7,35
Cleveland Browns,381,20,11,9,34
Los Angeles Chargers,384,24,14,10,40
Los Angeles Rams,384,22,16,6,38
Atlanta Falcons,386,17,10,7,21
Miami Dolphins,399,14,8,6,40
Seattle Seahawks,401,25,14,11,45
Las Vegas Raiders,418,13,6,7,27
Houston Texans,420,27,16,11,39
Minnesota Vikings,427,25,15,10,38
Detroit Lions,427,22,12,10,39
Indianapolis Colts,427,21,10,11,44
Arizona Cardinals,449,20,11,9,36
Chicago Bears,463,23,14,9,20
