team,points_allowed,turnovers,pass_int,fumbles_lost_by_opp,sacks
Los Angeles Chargers,301,21,15,6,46
Philadelphia Eagles,303,26,13,13,41
Denver Broncos,311,25,15,10,63
Kansas City Chiefs,326,20,13,7,39
Minnesota Vikings,332,33,24,9,49
Green Bay Packers,338,31,17,14,45
Detroit Lions,342,24,16,8,37
Pittsburgh Steelers,347,33,17,16,40
Baltimore Ravens,361,17,12,5,54
Miami Dolphins,364,16,10,6,35
Buffalo Bills,368,32,16,16,39
Seattle Seahawks,368,18,13,5,45
Chicago Bears,370,24,11,13,40
Houston Texans,372,29,19,10,49
Arizona Cardinals,379,17,9,8,41
Tampa Bay Buccaneers,385,18,7,11,46
Los Angeles Rams,386,20,13,7,38
Washington Commanders,391,17,7,10,43
New Orleans Saints,398,17,14,3,39
New York Jets,404,17,7,10,43
New York Giants,415,15,5,10,45
New England Patriots,417,12,7,5,28
Atlanta Falcons,423,18,12,6,31
Indianapolis Colts,427,25,16,9,36
Cincinnati Bengals,434,25,15,10,36
Las Vegas Raiders,434,13,10,3,38
Cleveland Browns,435,12,4,8,41
Jacksonville Jaguars,435,9,6,3,34
San Francisco 49ers,436,17,11,6,37
Tennessee Titans,460,18,11,7,32
Dallas Cowboys,468,22,13,9,52
Carolina Panthers,534,17,9,8,32
