player,team,fantasy_pos,g,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,targets,rec,rec_yds,rec_td,fumbles_lost
Jonathan Taylor,IND,RB,17,0,0,0,0,0,323,1585,18,55,46,378,2,1
Christian McCaffrey,SFO,RB,17,0,1,0,0,0,311,1202,10,129,102,924,7,0
Bijan Robinson,ATL,RB,17,0,0,0,0,0,287,1478,7,103,79,820,4,3
Jahmyr Gibbs,DET,RB,17,0,0,0,0,0,243,1223,13,94,77,616,5,1
Puka Nacua,LAR,WR,16,0,0,0,0,0,10,105,1,166,129,1715,10,1
Jaxon Smith-Njigba,SEA,WR,17,0,0,0,0,0,7,36,0,163,119,1793,10,1
James Cook,BUF,RB,17,0,0,0,0,0,309,1621,12,40,33,291,2,3
Derrick Henry,BAL,RB,17,0,1,0,0,0,307,1595,16,21,15,150,0,3
De'Von Achane,MIA,RB,16,0,0,0,0,0,238,1350,8,85,67,488,4,0
Josh Allen,BUF,QB,17,319,460,3668,25,10,112,579,14,0,0,0,0,3
Amon-Ra St. Brown,DET,WR,17,0,0,0,0,0,3,9,0,172,117,1401,11,0
Trey McBride,ARI,TE,17,0,0,0,0,0,0,0,0,169,126,1239,11,0
George Pickens,DAL,WR,17,0,0,0,0,0,0,0,0,137,93,1429,9,0
Drake Maye,NWE,QB,17,354,492,4394,31,8,103,450,4,1,1,2,0,3
Matthew Stafford,LAR,QB,17,388,597,4707,46,8,29,1,0,0,0,0,0,3
Kyren Williams,LAR,RB,17,0,0,0,0,0,259,1252,10,50,36,281,3,2
Ja'Marr Chase,CIN,WR,16,0,0,0,0,0,3,14,0,185,125,1412,8,1
Travis Etienne,JAX,RB,17,0,0,0,0,0,260,1107,7,52,36,292,6,0
Trevor Lawrence,JAX,QB,17,341,560,4007,29,12,82,359,9,0,0,0,0,3
Chase Brown,CIN,RB,17,0,0,0,0,0,232,1019,6,88,69,437,5,0
Javonte Williams,DAL,RB,16,0,0,0,0,0,252,1201,11,51,35,137,2,2
Josh Jacobs,GNB,RB,15,0,0,0,0,0,234,929,13,44,36,282,1,2
