player,team,fga,fgm,xpa,xpm
Brandon Aubrey,DAL,47,40,30,30
Chris Boswell,PIT,44,41,35,35
Cameron Dicker,LAC,42,39,36,33
Ka'imi Fairbairn,HOU,42,36,36,34
Jason Sanders,MIA,41,37,28,26
Daniel Carlson,LVR,40,34,25,23
Matt Gay,IND,37,31,33,33
Jake Elliott,PHI,36,28,48,47
Joshua Karty,LAR,34,29,36,32
Younghoe Koo,ATL,34,25,26,26
Wil Lutz,DEN,34,31,46,46
Jake Moody,SFO,34,24,33,32
Joey Slye,NWE,33,26,26,25
Chase McLaughlin,TAM,32,30,56,54
Chad Ryland,ARI,32,28,27,26
Blake Grupe,NOR,31,27,33,31
Jason Myers,SEA,30,26,40,37
Will Reichard,MIN,30,24,38,38
Austin Seibert,WAS,30,27,24,22
Justin Tucker,BAL,30,22,62,60
Tyler Bass,BUF,29,24,64,59
Jake Bates,DET,29,26,67,64
Cam Little,JAX,29,27,27,27
Dustin Hopkins,CLE,27,18,20,17
Eddy Piñeiro,CAR,26,22,35,33
Harrison Butker,KAN,25,21,31,29
Cairo Santos,CHI,25,21,26,25
Nick Folk,TEN,22,21,25,25
Evan McPherson,CIN,22,16,38,37
Brandon McManus,GNB,21,20,30,30
Brayden Narveson,GNB,18,12,18,18
Greg Joseph,NYG,20,16,11,11
Greg Zuerlein,NYJ,15,9,14,13
John Parker Romo,MIN,12,11,8,7
Graham Gano,NYG,11,9,15,15
Cade York,WAS,13,9,17,16
Anders Carlson,SFO,15,13,15,12
Matthew Wright,SFO,16,15,6,6
Zane Gonzalez,WAS,7,5,19,19
Riley Patterson,NYJ,7,4,16,16
Matt Prater,ARI,6,6,10,10
Spencer Shrader,IND,5,5,9,9
Jude McAtamney,NYG,1,1,1,1
