player,team,fga,fgm,xpa,xpm
Ka'imi Fairbairn,HOU,48,44,28,28
Jason Myers,SEA,48,41,48,48
Brandon Aubrey,DAL,42,36,48,47
Cameron Dicker,LAC,41,38,35,34
Harrison Butker,KAN,38,33,35,31
Chase McLaughlin,TAM,38,32,33,32
Will Reichard,MIN,35,33,31,31
Joey Slye,TEN,35,28,27,26
Jake Bates,DET,34,27,56,54
Cam Little,JAX,34,30,51,50
Tyler Loop,BAL,34,30,46,44
Chad Ryland,ARI,33,25,36,36
Andres Borregales,NWE,32,27,55,53
Chris Boswell,PIT,32,27,43,42
Wil Lutz,DEN,32,28,39,39
Brandon McManus,GNB,30,24,33,32
Cairo Santos,CHI,30,25,39,39
Ryan Fitzgerald,CAR,29,24,30,27
Nick Folk,NYJ,29,28,22,22
Riley Patterson,MIA,29,27,35,34
Eddy Piñeiro,SFO,29,28,38,34
Evan McPherson,CIN,28,25,44,41
Daniel Carlson,LVR,27,22,22,21
Jake Elliott,PHI,27,20,42,41
Andre Szmyt,CLE,27,24,26,25
Blake Grupe,NOR,37,29,25,25
Zane Gonzalez,ATL,22,19,18,17
Matt Prater,BUF,20,18,49,46
Matt Gay,IND,23,17,26,26
Charlie Smyth,NOR,16,12,13,13
Joshua Karty,LAR,15,10,26,23
John Parker Romo,ATL,14,11,13,12
Spencer Shrader,IND,14,13,14,14
Harrison Mevis,LAR,13,12,39,39
Michael Badgley,2TM,12,11,25,20
Jake Moody,SFO,23,19,16,15
Graham Gano,NYG,10,9,9,9
Ben Sauls,NYG,8,8,7,7
Younghoe Koo,2TM,9,6,14,13
Lucas Havrisik,GNB,4,4,9,7
Matthew Wright,2TM,5,5,4,4
Jude McAtamney,NYG,2,2,12,9
