player,team,fantasy_pos,g,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,targets,rec,rec_yds,rec_td,fumbles_lost
Ja'Marr Chase,CIN,WR,16,1,1,-7,0,0,3,-6,0,145,100,1216,7,0
Davante Adams,LVR,WR,17,0,0,0,0,0,0,0,0,175,103,1144,8,0
Jahmyr Gibbs,DET,RB,15,0,0,0,0,0,182,945,10,71,52,316,1,1
Evan Engram,JAX,TE,17,0,0,0,0,0,0,0,0,143,114,963,4,2
James Cook,BUF,RB,17,0,0,0,0,0,237,1122,2,54,44,445,4,2
Bijan Robinson,ATL,RB,17,0,0,0,0,0,214,976,4,86,58,487,4,3
D.K. Metcalf,SEA,WR,16,0,0,0,0,0,0,0,0,119,66,1114,8,0
Jared Goff,DET,QB,17,407,605,4575,30,12,32,21,2,0,0,0,0,4
Taysom Hill,NOR,TE,16,6,11,83,1,0,81,401,4,40,33,291,2,1
Amari Cooper,CLE,WR,15,0,0,0,0,0,0,0,0,128,72,1250,5,1
Saquon Barkley,NYG,RB,14,0,0,0,0,0,247,962,6,60,41,280,4,2
Calvin Ridley,JAX,WR,17,0,0,0,0,0,9,23,0,136,76,1016,8,0
Jayden Reed,GNB,WR,16,0,0,0,0,0,11,119,2,94,64,793,8,0
Cole Kmet,CHI,TE,17,0,0,0,0,0,3,2,0,90,73,719,6,0
Jordan Addison,MIN,WR,17,0,0,0,0,0,1,2,0,108,70,911,10,0
Jake Ferguson,DAL,TE,17,0,0,0,0,0,0,0,0,102,71,761,5,0
DeAndre Hopkins,TEN,WR,17,0,1,0,0,0,2,9,0,137,75,1057,7,0
Patrick Mahomes,KAN,QB,16,401,597,4183,27,14,75,389,0,0,0,0,0,3
Jakobi Meyers,LVR,WR,16,2,3,12,1,0,4,24,2,106,71,807,8,0
James Conner,ARI,RB,13,0,0,0,0,0,208,1040,7,33,27,165,2,0
Gus Edwards,BAL,RB,17,0,0,0,0,0,198,810,13,13,12,180,0,2
DeVonta Smith,PHI,WR,16,0,0,0,0,0,0,0,0,112,81,1066,7,1
George Pickens,PIT,WR,17,0,0,0,0,0,3,18,0,106,63,1140,5,0
Trey McBride,ARI,TE,17,0,0,0,0,0,0,0,0,106,81,825,3,0
Chris Olave,NOR,WR,16,0,0,0,0,0,0,0,0,138,87,1123,5,0
C.J. Stroud,HOU,QB,15,319,499,4108,23,5,39,167,3,1,1,0,0,4
Kenneth Walker III,SEA,RB,15,0,0,0,0,0,219,905,8,37,29,259,1,0
Baker Mayfield,TAM,QB,17,364,566,4044,28,10,62,163,1,0,0,0,0,3
Isiah Pacheco,KAN,RB,14,0,0,0,0,0,205,935,7,49,44,244,2,1
Michael Pittman Jr.,IND,WR,16,0,0,0,0,0,0,0,0,156,109,1152,4,1
Tony Pollard,DAL,RB,17,0,0,0,0,0,252,1005,6,67,55,311,0,1
Jerome Ford,CLE,RB,17,0,0,0,0,0,204,813,4,63,44,319,5,1
Najee Harris,PIT,RB,17,0,0,0,0,0,255,1035,8,38,29,170,0,1
Tua Tagovailoa,MIA,QB,17,388,560,4624,29,14,35,74,0,0,0,0,0,5
Dalton Schultz,HOU,TE,15,0,0,0,0,0,0,0,0,88,59,635,5,1
Mark Andrews,BAL,TE,10,0,0,0,0,0,1,0,0,61,45,544,6,0
De'Von Achane,MIA,RB,11,0,0,0,0,0,103,800,8,37,27,197,3,1
Justin Jefferson,MIN,WR,10,0,1,0,0,0,1,-12,0,100,68,1074,5,1
Brian Robinson Jr.,WAS,RB,15,0,0,0,0,0,178,733,5,43,36,368,4,2
Rashee Rice,KAN,WR,16,0,0,0,0,0,1,-3,0,102,79,938,7,1
D'Andre Swift,PHI,RB,16,0,0,0,0,0,229,1049,5,49,39,214,1,1
Courtland Sutton,DEN,WR,16,0,0,0,0,0,0,0,0,90,59,772,10,3
Terry McLaurin,WAS,WR,17,0,0,0,0,0,0,0,0,132,79,1002,4,0
Trevor Lawrence,JAX,QB,16,370,564,4016,21,14,70,339,4,0,0,0,0,7
Sam Howell,WAS,QB,17,388,612,3946,21,21,48,263,5,1,1,4,0,2
Russell Wilson,DEN,QB,15,297,447,3070,26,8,80,341,3,0,0,0,0,5
Matthew Stafford,LAR,QB,15,326,521,3965,24,11,21,65,0,0,0,0,0,0
Derek Carr,NOR,QB,17,375,548,3878,25,8,32,40,0,0,0,0,0,3
Justin Herbert,LAC,QB,13,297,456,3134,20,7,52,228,3,1,1,10,0,1
Justin Fields,CHI,QB,13,227,370,2562,16,9,124,657,4,0,0,0,0,4
Geno Smith,SEA,QB,15,323,499,3624,20,9,37,155,1,1,1,-2,0,3
Joshua Dobbs,2TM,QB,13,262,417,2464,13,10,77,421,6,0,0,0,0,7
Gardner Minshew II,IND,QB,17,305,490,3305,15,9,34,100,3,0,0,0,0,5
Desmond Ridder,ATL,QB,15,249,388,2836,12,12,53,193,5,1,1,-6,0,7
Alvin Kamara,NOR,RB,13,0,0,0,0,0,180,694,5,86,75,466,1,0
Bryce Young,CAR,QB,16,315,527,2877,11,10,39,253,0,0,0,0,0,6
Kirk Cousins,MIN,QB,8,216,311,2331,18,5,14,25,0,0,0,0,0,4
Joe Burrow,CIN,QB,10,244,365,2309,15,6,31,88,0,0,0,0,0,1
Kyler Murray,ARI,QB,8,176,268,1799,10,5,44,244,3,0,0,0,0,0
Chuba Hubbard,CAR,RB,17,0,0,0,0,0,238,902,5,44,39,233,0,0
Josh Jacobs,LVR,RB,13,0,0,0,0,0,233,805,6,54,37,296,0,1
Jake Browning,CIN,QB,9,171,243,1936,12,7,27,127,3,1,1,-7,0,0
Zack Moss,IND,RB,14,0,0,0,0,0,183,794,5,37,27,192,2,0
Devin Singletary,HOU,RB,17,1,1,6,1,0,216,898,4,38,30,193,0,0
Jonathan Taylor,IND,RB,10,0,0,0,0,0,169,741,7,23,19,153,1,0
Jaylen Warren,PIT,RB,17,0,0,0,0,0,149,784,4,74,61,370,0,2
Austin Ekeler,LAC,RB,14,0,0,0,0,0,179,628,5,74,51,436,1,4
Javonte Williams,DEN,RB,16,0,0,0,0,0,217,774,3,58,47,228,2,1
Zay Flowers,BAL,WR,16,0,0,0,0,0,8,56,1,108,77,858,5,0
Adam Thielen,CAR,WR,17,0,0,0,0,0,1,6,0,137,103,1014,4,0
Jaylen Waddle,MIA,WR,14,0,0,0,0,0,3,12,0,104,72,1014,4,0
Chris Godwin,TAM,WR,17,0,1,0,0,0,4,38,1,130,83,1024,2,0
Aidan O'Connell,LVR,QB,11,213,343,2218,12,7,17,11,1,0,0,0,0,2
Ezekiel Elliott,NWE,RB,17,0,0,0,0,0,184,642,3,65,51,313,2,1
Tyler Lockett,SEA,WR,17,0,0,0,0,0,0,0,0,122,79,894,5,0
Tyler Allgeier,ATL,RB,17,0,0,0,0,0,186,683,4,23,18,193,1,0
Zach Wilson,NYJ,QB,12,221,368,2271,8,7,36,211,0,0,0,0,0,7
Brandin Cooks,DAL,WR,16,0,0,0,0,0,5,35,0,81,54,657,8,0
Tank Dell,HOU,WR,11,0,0,0,0,0,11,51,0,75,47,709,7,0
Garrett Wilson,NYJ,WR,17,0,1,0,0,0,4,0,0,168,95,1042,3,2
Gabe Davis,BUF,WR,17,0,0,0,0,0,1,-2,0,81,45,746,7,1
Romeo Doubs,GNB,WR,17,0,0,0,0,0,0,0,0,96,59,674,8,0
Kenny Pickett,PIT,QB,12,201,324,2070,6,4,42,54,1,0,0,0,0,0
Rashid Shaheed,NOR,WR,15,0,0,0,0,0,7,37,0,75,46,719,5,1
Rhamondre Stevenson,NWE,RB,12,0,0,0,0,0,156,619,4,51,38,238,0,1
Mac Jones,NWE,QB,11,224,345,2120,10,12,26,96,0,0,0,0,0,2
Aaron Jones,GNB,RB,11,0,0,0,0,0,142,656,2,43,30,233,1,1
Cooper Kupp,LAR,WR,12,0,0,0,0,0,1,-3,0,95,59,737,5,0
Drake London,ATL,WR,16,1,1,22,0,0,0,0,0,110,69,905,2,0
Kareem Hunt,CLE,RB,15,0,0,0,0,0,135,411,9,21,15,84,0,0
Alexander Mattison,MIN,RB,16,0,0,0,0,0,180,700,0,44,30,192,3,2
Diontae Johnson,PIT,WR,13,0,0,0,0,0,0,0,0,87,51,717,5,0
Will Levis,TEN,QB,9,149,255,1808,8,4,25,57,1,0,0,0,0,4
Tyjae Spears,TEN,RB,17,0,0,0,0,0,100,453,2,70,52,385,1,0
Joe Flacco,CLE,QB,5,123,204,1616,13,8,9,2,0,0,0,0,0,1
Darius Slayton,NYG,WR,17,0,0,0,0,0,0,0,0,79,50,770,4,0
AJ Dillon,GNB,RB,15,0,0,0,0,0,178,613,2,28,22,223,0,0
Tee Higgins,CIN,WR,12,0,0,0,0,0,0,0,0,76,42,656,5,0
Curtis Samuel,WAS,WR,16,0,0,0,0,0,7,39,1,91,62,613,4,0
Tommy DeVito,NYG,QB,9,114,178,1101,8,3,36,195,1,0,0,0,0,1
Khalil Herbert,CHI,RB,12,0,0,0,0,0,132,611,2,31,20,134,1,1
Christian Kirk,JAX,WR,12,1,2,-1,0,0,1,6,0,85,57,787,3,2
Josh Downs,IND,WR,17,0,0,0,0,0,0,0,0,98,68,771,2,0
Josh Reynolds,DET,WR,17,0,0,0,0,0,0,0,0,64,40,608,5,1
Jerry Jeudy,DEN,WR,16,0,0,0,0,0,0,0,0,87,54,758,2,0
Jaxon Smith-Njigba,SEA,WR,17,0,0,0,0,0,0,0,0,93,63,628,4,0
Tyrod Taylor,NYG,QB,11,116,180,1341,5,3,38,197,0,0,0,0,0,0
Deshaun Watson,CLE,QB,6,105,171,1115,7,4,26,142,1,0,0,0,0,2
Marquise Brown,ARI,WR,14,0,0,0,0,0,2,23,0,101,51,574,4,0
Kyle Pitts,ATL,TE,17,0,0,0,0,0,1,-4,0,90,53,667,3,0
DJ Chark,CAR,WR,15,0,0,0,0,0,0,0,0,66,35,525,5,1
Justice Hill,BAL,RB,16,0,0,0,0,0,84,387,3,39,28,206,1,1
Dontayvion Wicks,GNB,WR,15,1,1,14,0,0,1,1,0,58,39,581,4,1
Ty Chandler,MIN,RB,17,0,0,0,0,0,102,461,3,25,21,159,0,0
D'Onta Foreman,CHI,RB,9,0,0,0,0,0,109,425,4,16,11,77,1,0
Ryan Tannehill,TEN,QB,10,149,230,1616,4,7,17,74,1,1,0,0,0,0
Antonio Gibson,WAS,RB,16,0,0,0,0,0,65,265,1,59,48,389,2,2
Tyler Boyd,CIN,WR,17,0,1,0,0,1,2,11,0,98,67,667,2,0
Hunter Henry,NWE,TE,14,0,0,0,0,0,0,0,0,61,42,419,6,0
Dallas Goedert,PHI,TE,14,0,0,0,0,0,1,1,0,83,59,592,3,0
Dalton Kincaid,BUF,TE,16,0,0,0,0,0,0,0,0,91,73,673,2,1
Michael Wilson,ARI,WR,13,0,0,0,0,0,0,0,0,58,38,565,3,0
Jahan Dotson,WAS,WR,17,0,0,0,0,0,0,0,0,83,49,518,4,0
Rico Dowdle,DAL,RB,16,0,0,0,0,0,89,361,2,22,17,144,2,0
Jaleel McLaughlin,DEN,RB,17,0,0,0,0,0,76,410,1,36,31,160,2,0
Khalil Shakir,BUF,WR,17,0,0,0,0,0,1,10,0,45,39,611,2,0
Jonnu Smith,ATL,TE,17,0,1,0,0,0,1,0,0,70,50,582,3,1
Tutu Atwell,LAR,WR,16,0,0,0,0,0,5,31,0,67,39,483,3,0
Odell Beckham Jr.,BAL,WR,14,0,0,0,0,0,0,0,0,64,35,565,3,1
Zach Charbonnet,SEA,RB,16,0,0,0,0,0,108,462,1,40,33,209,0,0
Elijah Moore,CLE,WR,17,0,0,0,0,0,9,11,0,104,59,640,2,2
Anthony Richardson,IND,QB,4,50,84,577,3,1,25,136,4,0,0,0,0,1
Wan'Dale Robinson,NYG,WR,15,0,0,0,0,0,9,87,1,78,60,525,1,0
Christian Watson,GNB,WR,9,0,0,0,0,0,4,11,0,53,28,422,5,0
K.J. Osborn,MIN,WR,16,0,0,0,0,0,0,0,0,75,48,540,3,0
Logan Thomas,WAS,TE,16,0,0,0,0,0,1,2,0,78,55,496,4,2
Isaiah Likely,BAL,TE,17,0,0,0,0,0,0,0,0,40,30,411,5,0
Samaje Perine,DEN,RB,17,0,0,0,0,0,53,238,1,56,50,455,0,2
Cade Otton,TAM,TE,17,0,0,0,0,0,0,0,0,67,47,455,4,1
Dameon Pierce,HOU,RB,14,0,0,0,0,0,145,416,2,17,13,101,0,0
Noah Brown,HOU,WR,10,0,0,0,0,0,1,-1,0,55,33,567,2,0
Josh Palmer,LAC,WR,10,0,0,0,0,0,1,6,0,61,38,581,2,1
Bailey Zappe,NWE,QB,10,127,212,1272,6,9,17,83,1,0,0,0,0,1
Roschon Johnson,CHI,RB,15,0,0,0,0,0,81,352,2,40,34,209,0,0
Easton Stick,LAC,QB,5,111,174,1129,3,1,27,144,1,0,0,0,0,4
Kenneth Gainwell,PHI,RB,16,1,1,17,0,0,84,364,2,37,30,183,0,1
Nick Mullens,MIN,QB,5,100,148,1306,7,8,10,25,0,0,0,0,0,0
Taylor Heinicke,ATL,QB,5,74,136,890,5,4,15,124,1,0,0,0,0,0
Latavius Murray,BUF,RB,16,0,0,0,0,0,79,300,4,22,17,119,0,0
Rondale Moore,ARI,WR,17,0,0,0,0,0,28,178,1,62,40,352,1,0
Jimmy Garoppolo,LVR,QB,7,110,169,1205,7,9,20,39,0,0,0,0,0,0
Kendrick Bourne,NWE,WR,8,0,0,0,0,0,1,4,0,55,37,406,4,1
Alec Pierce,IND,WR,17,0,0,0,0,0,0,0,0,65,32,514,2,0
Nelson Agholor,BAL,WR,17,0,0,0,0,0,0,0,0,45,35,381,4,0
Tyler Conklin,NYJ,TE,17,0,0,0,0,0,1,0,0,87,61,621,0,0
Tyler Higbee,LAR,TE,15,0,0,0,0,0,0,0,0,70,47,495,2,0
Kalif Raymond,DET,WR,17,0,0,0,0,0,7,75,0,44,35,489,1,0
Justin Watson,KAN,WR,16,0,0,0,0,0,0,0,0,53,27,460,3,1
Juwan Johnson,NOR,TE,13,0,0,0,0,0,0,0,0,59,37,368,4,0
Keaton Mitchell,BAL,RB,8,0,0,0,0,0,47,396,2,11,9,93,0,0
Demarcus Robinson,LAR,WR,16,0,0,0,0,0,1,23,0,39,26,371,4,1
Miles Sanders,CAR,RB,16,0,0,0,0,0,129,432,1,41,27,154,0,2
Darren Waller,NYG,TE,12,0,0,0,0,0,0,0,0,74,52,552,1,0
Gerald Everett,LAC,TE,15,0,0,0,0,0,3,10,0,70,51,411,3,0
Jerick McKinnon,KAN,RB,12,1,1,4,1,0,21,60,1,32,25,192,4,0
Chig Okonkwo,TEN,TE,17,0,0,0,0,0,2,6,0,77,54,528,1,0
Zamir White,LVR,RB,17,0,0,0,0,0,104,451,1,19,15,98,0,1
DeMario Douglas,NWE,WR,14,0,0,0,0,0,8,41,0,79,49,561,0,1
Daniel Jones,NYG,QB,6,108,160,909,2,6,40,206,1,0,0,0,0,1
Trey Palmer,TAM,WR,17,0,0,0,0,0,3,22,0,68,39,385,3,1
Nick Westbrook-Ikhine,TEN,WR,14,0,0,0,0,0,0,0,0,45,28,370,3,0
Quentin Johnston,LAC,WR,17,0,0,0,0,0,3,9,0,67,38,431,2,0
Jameson Williams,DET,WR,12,0,0,0,0,0,3,29,1,42,24,354,2,0
Michael Gallup,DAL,WR,17,0,0,0,0,0,0,0,0,57,34,418,2,0
Brandon Johnson,DEN,WR,13,0,0,0,0,0,0,0,0,30,19,284,4,0
Joshua Kelley,LAC,RB,17,0,0,0,0,0,107,405,2,12,8,32,0,1
Tyson Bagent,CHI,QB,5,94,143,859,3,6,23,109,2,0,0,0,0,2
Clyde Edwards-Helaire,KAN,RB,15,0,0,0,0,0,70,223,1,22,17,188,1,0
Donald Parham,LAC,TE,14,0,0,0,0,0,0,0,0,41,27,285,4,0
Tre Tucker,LVR,WR,16,0,0,0,0,0,10,77,0,34,19,331,2,0
Emari Demercado,ARI,RB,14,0,0,0,0,0,58,284,2,30,21,119,0,0
Michael Thomas,NOR,WR,10,0,0,0,0,0,0,0,0,64,39,448,1,0
Marvin Mims,DEN,WR,16,0,0,0,0,0,9,30,0,33,22,377,1,2
A.T. Perry,NOR,WR,10,0,0,0,0,0,0,0,0,18,12,246,4,0
Mitchell Trubisky,PIT,QB,5,67,107,632,4,5,16,54,2,0,0,0,0,1
Robert Woods,HOU,WR,14,0,0,0,0,0,1,7,0,75,40,426,1,0
Tucker Kraft,GNB,TE,17,0,0,0,0,0,0,0,0,40,31,355,2,0
Darnell Mooney,CHI,WR,15,0,0,0,0,0,2,5,0,61,31,414,1,0
KaVontae Turpin,DAL,WR,16,0,0,0,0,0,11,110,1,18,12,127,3,0
Cedrick Wilson Jr.,MIA,WR,15,0,0,0,0,0,0,0,0,38,22,296,3,0
Chris Moore,TEN,WR,17,0,0,0,0,0,2,39,0,35,22,424,0,0
Rashod Bateman,BAL,WR,16,0,0,0,0,0,1,18,0,56,32,367,1,0
Royce Freeman,LAR,RB,14,0,0,0,0,0,77,319,2,2,1,13,0,0
Pat Freiermuth,PIT,TE,12,0,0,0,0,0,0,0,0,47,32,308,2,0
Zay Jones,JAX,WR,9,0,0,0,0,0,0,0,0,64,34,321,2,0
Michael Mayer,LVR,TE,14,0,0,0,0,0,0,0,0,40,27,304,2,0
Kylen Granson,IND,TE,15,0,0,0,0,0,1,2,0,50,30,368,1,0
Noah Gray,KAN,TE,17,0,0,0,0,0,1,1,0,41,28,305,2,0
Jamaal Williams,NOR,RB,13,0,0,0,0,0,106,306,1,20,18,62,0,0
Jordan Mason,SFO,RB,17,0,0,0,0,0,40,206,3,4,3,31,0,0
Jonathan Mingo,CAR,WR,15,0,0,0,0,0,0,0,0,85,43,418,0,0
Elijah Mitchell,SFO,RB,11,0,0,0,0,0,75,281,2,8,6,14,0,0
Greg Dortch,ARI,WR,16,0,0,0,0,0,1,5,0,41,24,280,2,0
Noah Fant,SEA,TE,17,0,0,0,0,0,0,0,0,43,32,414,0,0
Tanner Hudson,CIN,TE,12,0,0,0,0,0,0,0,0,50,39,352,1,0
Luke Musgrave,GNB,TE,11,0,0,0,0,0,0,0,0,46,34,352,1,0
Chase Brown,CIN,RB,12,0,0,0,0,0,44,179,0,15,14,156,1,0
Mason Rudolph,PIT,QB,4,55,74,719,3,0,10,8,0,0,0,0,0,1
Isaiah Hodgins,NYG,WR,17,0,0,0,0,0,0,0,0,33,21,230,3,1
DeVante Parker,NWE,WR,13,0,0,0,0,0,0,0,0,55,33,394,0,0
Jake Bobo,SEA,WR,17,0,0,0,0,0,1,3,1,25,19,196,2,0
Xavier Gipson,NYJ,WR,17,0,0,0,0,0,8,68,1,38,21,229,0,2
Trenton Irwin,CIN,WR,16,0,0,0,0,0,0,0,0,32,25,316,1,0
Brandon Powell,MIN,WR,17,0,0,0,0,0,5,17,0,44,29,324,1,1
Pierre Strong,CLE,RB,17,0,0,0,0,0,63,291,1,8,5,47,0,1
Adam Trautman,DEN,TE,17,0,0,0,0,0,0,0,0,35,22,204,3,0
Jalin Hyatt,NYG,WR,17,0,0,0,0,0,0,0,0,40,23,373,0,0
Allen Lazard,NYJ,WR,14,0,0,0,0,0,0,0,0,49,23,311,1,0
Colby Parkinson,SEA,TE,17,0,0,0,0,0,0,0,0,34,25,247,2,0
Durham Smythe,MIA,TE,16,0,0,0,0,0,0,0,0,43,35,366,0,0
Jalen Tolbert,DAL,WR,17,0,0,0,0,0,0,0,0,36,22,268,2,1
Tommy Tremble,CAR,TE,16,0,0,0,0,0,0,0,0,32,23,194,3,0
Cam Akers,2TM,RB,7,0,0,0,0,0,60,167,2,12,11,70,0,0
Mo Alie-Cox,IND,TE,17,0,0,0,0,0,0,0,0,22,13,161,3,0
Calvin Austin III,PIT,WR,17,0,0,0,0,0,11,57,1,30,17,180,1,0
Mike Gesicki,NWE,TE,17,0,0,0,0,0,0,0,0,45,29,244,2,0
Andrei Iosivas,CIN,WR,16,0,0,0,0,0,0,0,0,25,15,116,4,0
Chris Rodriguez,WAS,RB,13,0,0,0,0,0,51,247,2,2,2,12,0,1
Marquez Valdes-Scantling,KAN,WR,16,0,0,0,0,0,0,0,0,42,21,315,1,1
David Bell,CLE,WR,15,0,0,0,0,0,0,0,0,23,14,167,3,0
Michael Carter,2TM,RB,15,0,0,0,0,0,30,187,0,31,24,101,1,0
Darrell Henderson,LAR,RB,4,0,0,0,0,0,46,112,2,14,10,103,0,0
Lil'Jordan Humphrey,DEN,WR,17,0,0,0,0,0,0,0,0,19,13,162,3,0
Brevin Jordan,HOU,TE,14,0,0,0,0,0,0,0,0,21,17,219,2,0
Jauan Jennings,SFO,WR,13,0,0,0,0,0,0,0,0,33,19,265,1,0
Dawson Knox,BUF,TE,12,0,0,0,0,0,0,0,0,36,22,186,2,0
Kendre Miller,NOR,RB,8,0,0,0,0,0,41,156,1,11,10,117,0,0
Skyy Moore,KAN,WR,14,0,0,0,0,0,3,23,0,38,21,244,1,0
JuJu Smith-Schuster,NWE,WR,11,0,0,0,0,0,0,0,0,47,29,260,1,0
Braxton Berrios,MIA,WR,16,0,0,0,0,0,1,11,0,33,27,238,1,0
Josh Oliver,MIN,TE,17,0,0,0,0,0,0,0,0,28,22,213,2,1
Mike Williams,LAC,WR,3,0,0,0,0,0,1,3,0,26,19,249,1,0
Matt Breida,NYG,RB,17,0,0,0,0,0,55,151,1,21,17,88,0,0
Bo Melton,GNB,WR,5,0,0,0,0,0,3,21,0,24,16,218,1,0
Alex Erickson,LAC,WR,8,0,0,0,0,0,0,0,0,29,16,232,1,0
Drew Lock,SEA,QB,4,48,76,543,3,3,5,14,0,0,0,0,0,0
Andrew Beck,HOU,FB,15,0,0,0,0,0,5,3,1,13,11,55,2,1
Jimmy Graham,NOR,TE,13,0,0,0,0,0,0,0,0,7,6,39,4,0
Scotty Miller,ATL,WR,17,0,0,0,0,0,0,0,0,16,11,161,2,0
Cordarrelle Patterson,ATL,RB,14,0,0,0,0,0,50,181,0,12,9,38,1,0
Allen Robinson,PIT,WR,17,0,0,0,0,0,0,0,0,49,34,280,0,0
Drew Sample,CIN,TE,17,0,0,0,0,0,0,0,0,27,22,163,2,0
Olamide Zaccheaus,PHI,WR,17,0,0,0,0,0,0,0,0,20,10,164,2,0
Salvon Ahmed,MIA,RB,8,0,0,0,0,0,22,61,1,23,16,88,1,0
Andrew Ogletree,IND,TE,12,0,0,0,0,0,0,0,0,21,9,147,2,0
Trevor Siemian,NYJ,QB,5,86,153,724,2,4,11,40,0,0,0,0,0,3
Jarrett Stidham,DEN,QB,3,40,66,496,2,1,9,8,0,0,0,0,0,0
Jeff Wilson,MIA,RB,10,0,0,0,0,0,41,188,0,17,14,85,0,0
Jamal Agnew,JAX,WR,11,0,0,0,0,0,4,-2,0,21,14,225,1,1
Daniel Bellinger,NYG,TE,17,0,0,0,0,0,0,0,0,28,25,255,0,0
Chase Edmonds,TAM,RB,13,0,0,0,0,0,49,176,0,17,14,81,0,0
Tyler Huntley,BAL,QB,5,21,37,203,3,0,15,55,0,0,0,0,0,0
Kadarius Toney,KAN,WR,13,0,1,0,0,0,11,31,0,38,27,169,1,0
Carson Wentz,LAR,QB,2,17,24,163,2,1,17,56,1,0,0,0,0,0
Ronnie Bell,SFO,WR,17,0,0,0,0,0,0,0,0,13,6,68,3,0
Pharaoh Brown,NWE,TE,17,0,0,0,0,0,0,0,0,15,13,208,1,1
Harrison Bryant,CLE,TE,17,0,0,0,0,0,5,8,0,20,13,81,3,1
Dalvin Cook,2TM,RB,15,0,0,0,0,0,67,214,0,20,15,78,0,2
Zach Ertz,ARI,TE,7,0,0,0,0,0,0,0,0,43,27,187,1,0
Deonte Harty,BUF,WR,16,0,0,0,0,0,4,0,0,21,15,150,1,1
Mack Hollins,ATL,WR,13,0,0,0,0,0,0,0,0,30,18,251,0,0
D'Ernest Johnson,JAX,RB,17,0,0,0,0,0,41,108,0,12,10,140,0,0
Ty Johnson,BUF,RB,10,0,0,0,0,0,30,132,0,7,7,62,1,0
Julio Jones,PHI,WR,11,0,0,0,0,0,0,0,0,19,11,74,3,0
Tony Jones,2TM,RB,7,0,0,0,0,0,26,95,2,10,7,37,0,0
Kyle Juszczyk,SFO,FB,17,0,0,0,0,0,5,6,0,17,14,119,2,0
Foster Moreau,NOR,TE,15,0,0,0,0,0,0,0,0,25,21,193,1,0
Craig Reynolds,DET,RB,17,0,0,0,0,0,41,179,1,5,5,47,0,2
Ihmir Smith-Marsette,CAR,WR,17,0,0,0,0,0,8,74,1,10,8,51,0,0
Treylon Burks,TEN,WR,11,0,0,0,0,0,5,18,0,30,16,221,0,0
Andy Dalton,CAR,QB,3,34,58,361,2,0,3,12,0,0,0,0,0,0
Hayden Hurst,CAR,TE,9,0,0,0,0,0,0,0,0,32,18,184,1,0
