player,team,fantasy_pos,g,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,targets,rec,rec_yds,rec_td,fumbles_lost
Christian McCaffrey,SFO,RB,16,0,0,0,0,0,272,1459,14,83,67,564,7,2
CeeDee Lamb,DAL,WR,17,0,0,0,0,0,14,113,2,181,135,1749,12,2
Josh Allen,BUF,QB,17,385,579,4306,29,18,111,524,15,0,0,0,0,4
Tyreek Hill,MIA,WR,16,0,0,0,0,0,6,15,0,171,119,1799,13,1
Jalen Hurts,PHI,QB,17,352,538,3858,23,15,157,605,15,0,0,0,0,5
Raheem Mostert,MIA,RB,15,0,0,0,0,0,209,1012,18,32,25,175,3,1
Amon-Ra St. Brown,DET,WR,16,0,0,0,0,0,4,24,0,164,119,1515,10,1
Dak Prescott,DAL,QB,17,410,590,4516,36,9,55,242,2,0,0,0,0,2
Mike Evans,TAM,WR,17,0,0,0,0,0,0,0,0,136,79,1255,13,0
Lamar Jackson,BAL,QB,16,307,457,3678,24,7,148,821,5,0,0,0,0,6
Sam LaPorta,DET,TE,17,0,0,0,0,0,1,4,0,120,86,889,10,0
Travis Etienne,JAX,RB,17,0,0,0,0,0,267,1008,11,73,58,476,1,0
Kyren Williams,LAR,RB,12,0,0,0,0,0,228,1144,12,48,32,206,3,2
Puka Nacua,LAR,WR,17,0,0,0,0,0,12,89,0,160,105,1486,6,0
D.J. Moore,CHI,WR,17,0,0,0,0,0,4,21,1,136,96,1364,8,1
Derrick Henry,TEN,RB,17,2,3,14,2,0,280,1167,12,36,28,214,0,0
Joe Mixon,CIN,RB,17,0,0,0,0,0,257,1034,9,64,52,376,3,0
Jordan Love,GNB,QB,17,372,579,4159,32,11,50,247,4,0,0,0,0,3
Breece Hall,NYJ,RB,17,0,0,0,0,0,223,994,5,95,76,591,4,0
A.J. Brown,PHI,WR,17,0,0,0,0,0,0,0,0,158,106,1456,7,2
Deebo Samuel,SFO,WR,15,0,1,0,0,0,37,225,5,89,60,892,7,0
George Kittle,SFO,TE,16,0,0,0,0,0,1,2,0,90,65,1020,6,0
Nico Collins,HOU,WR,15,0,0,0,0,0,1,7,0,109,80,1297,8,0
Rachaad White,TAM,RB,17,0,0,0,0,0,272,990,6,70,64,549,3,2
Brandon Aiyuk,SFO,WR,16,0,0,0,0,0,0,0,0,105,75,1342,7,1
Travis Kelce,KAN,TE,15,0,0,0,0,0,0,0,0,121,93,984,5,1
Keenan Allen,LAC,WR,13,1,2,49,1,0,2,6,0,150,108,1243,7,1
T.J. Hockenson,MIN,TE,15,0,0,0,0,0,0,0,0,127,95,960,5,1
Stefon Diggs,BUF,WR,17,0,0,0,0,0,1,5,0,160,107,1183,8,1
David Njoku,CLE,TE,16,0,0,0,0,0,0,0,0,123,81,882,6,2
Brock Purdy,SFO,QB,16,308,444,4280,31,11,39,144,2,0,0,0,0,2
David Montgomery,DET,RB,14,0,0,0,0,0,219,1015,13,24,16,117,0,1
